antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,antecedent_len,is_rule_form
"frozenset({'b_max_12', 'b_meal_12'})",frozenset({'insulin_bolus_4'}),0.016129032258064516,0.12365591397849462,0.005376344086021506,0.33333333333333337,2.695652173913044,0.003381893860561915,1.3145161290322582,2,True
"frozenset({'b_meal_13', 'b_max_13'})",frozenset({'insulin_bolus_3'}),0.016129032258064516,0.13172043010752688,0.005376344086021506,0.33333333333333337,2.5306122448979598,0.0032518210197710726,1.3024193548387097,2,True
"frozenset({'b_max_11', 'b_meal_9'})",frozenset({'insulin_bolus_2'}),0.024193548387096774,0.19086021505376344,0.008064516129032258,0.3333333333333333,1.7464788732394365,0.0034469302809573363,1.2137096774193545,2,True
"frozenset({'b_max_10', 'b_meal_7'})",frozenset({'insulin_bolus_4'}),0.03494623655913978,0.12365591397849462,0.010752688172043012,0.30769230769230776,2.4882943143812715,0.006431379350213899,1.2658303464755079,2,True
"frozenset({'b_meal_10', 'b_max_11'})",frozenset({'insulin_bolus_4'}),0.03494623655913978,0.12365591397849462,0.010752688172043012,0.30769230769230776,2.4882943143812715,0.006431379350213899,1.2658303464755079,2,True
"frozenset({'b_max_13', 'b_meal_12'})",frozenset({'insulin_bolus_3'}),0.026881720430107527,0.13172043010752688,0.008064516129032258,0.3,2.2775510204081635,0.004523644351948202,1.2403993855606759,2,True
"frozenset({'b_max_9', 'b_meal_5'})",frozenset({'insulin_bolus_8'}),0.026881720430107527,0.056451612903225805,0.008064516129032258,0.3,5.314285714285714,0.006546999653139091,1.347926267281106,2,True
"frozenset({'b_max_9', 'b_meal_7'})",frozenset({'insulin_bolus_4'}),0.026881720430107527,0.12365591397849462,0.008064516129032258,0.3,2.426086956521739,0.00474043241993294,1.251920122887865,2,True
"frozenset({'b_max_9', 'b_meal_5'})",frozenset({'insulin_bolus_2'}),0.026881720430107527,0.19086021505376344,0.008064516129032258,0.3,1.5718309859154929,0.0029338651867267893,1.1559139784946237,2,True
"frozenset({'b_max_13', 'b_meal_11'})",frozenset({'insulin_bolus_4'}),0.01881720430107527,0.12365591397849462,0.005376344086021506,0.28571428571428575,2.3105590062111805,0.0030494854896519832,1.2268817204301077,2,True
"frozenset({'b_meal_14', 'b_max_14'})",frozenset({'insulin_bolus_2'}),0.01881720430107527,0.19086021505376344,0.005376344086021506,0.28571428571428575,1.4969818913480888,0.0017848884264076775,1.1327956989247312,2,True
